input_id	dealiased_id	standard_id	short_id
sec:taiso	sec:taiso	sec:taiso	xLiHgyW1
sec:kigen26	sec:kigen26	sec:kigen26	10UinG7sV
Kasza:1988	Kasza:1988	Kasza:1988	g8M5rrOK
nhknenkan35	nhknenkan35	nhknenkan35	RDKr7gbL
Anderson:1982	Anderson:1982	Anderson:1982	16rXryAuj
high03	high03	high03	fkz8rmFw
makino00	makino00	makino00	alZ6afOh
schafe12	schafe12	schafe12	PahDbwPO
nhk01-1	nhk01-1	nhk01-1	128OX7hD2
nhknenkan32	nhknenkan32	nhknenkan32	WICO0eWk
nhknenkan37	nhknenkan37	nhknenkan37	eTcyG1Ky
nhknenkan42	nhknenkan42	nhknenkan42	13lUMMFet
miyamo39	miyamo39	miyamo39	15mMOodtP
nhknenkan33	nhknenkan33	nhknenkan33	xhRjaAgv
robins98	robins98	robins98	1066byZzP
nhknenkan38	nhknenkan38	nhknenkan38	1Cj7BxyDc
asahi32-09-20	asahi32-09-20	asahi32-09-20	GAlLnzEw
akiyam18	akiyam18	akiyam18	pSkjWXtA
nhknenkan43	nhknenkan43	nhknenkan43	RC6B0jzG
nhknenkan40	nhknenkan40	nhknenkan40	Gaycw1Wa
Fig:hagi	Fig:hagi	Fig:hagi	Te2Gv1sN
yamagu03a	yamagu03a	yamagu03a	5iZBXrN3
sakaue14	sakaue14	sakaue14	tTq4N0o9
keys04	keys04	keys04	119HlqFVn
marsha10	marsha10	marsha10	fq22YAzz
abe92	abe92	abe92	16YYBgPfs
hopson19	hopson19	hopson19	GyF1ibbQ
ichima17	ichima17	ichima17	YTXH1zcc
